supplementary_data_3._evidence_from_recent_studies_reporting_associations_between_health-prevalent/-scarce_species_and_human_health/disease.,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6
Health-scarce,Anaerotruncus colihominis,Bloating,Has significant positive correlation with intestinal bloating.,Zhang (2015),Impacts of Gut Bacteria on Human Health and Diseases,International Journal of Molecular Sciences 
,,Abdominal pain ,Found to be increased over ten-fold during abdominal pain.,Jalanka-Tuovinen (2011),Intestinal Microbiota in Healthy Adults Temporal Analysis Reveals Individual and Common Core and Relation to Intestinal Symptoms,PLoS One
,Atopobium parvulum,Crohn's disease ,"Produce pro-inflammatory agents, notably hydrogen sulfide, inducing severe colitis. This species may represent a novel marker for disease activity as well as therapeutic target for IBD patients.",Mottawea (2016),Altered intestinal microbiota–host mitochondria crosstalk in new onset Crohn's disease,Nature Communications
,,Periodontitis,More prevalent in healthy subjects than in subjects with periodontitis.,Kumar (2003),New bacterial species associated with chronic periodontitis,Journal of Dental Research
,,Vaginosis,This species is associated with bacterial vaginosis in around 80% of the cases and might be involved in the therapeutic failures.,Polatti (2012),"Bacterial Vaginosis, Atopobium vaginae and Nifuratel",Current Clinical Pharmacology
,Bifidobacterium dentium,Bacteremia  ,B. longum and B. dentium are the species most frequently reported to cause bifidobacterial infections.,Esaiassen (2017),Bifidobacterium Bacteremia Clinical Characteristics and a Genomic Approach To Assess Pathogenicity,Journal of Clinical Microbiology
,,Dental caries,Considered to be an opportunistic pathogen since it has been associated with the development of dental caries.,Ventura (2009),The Bifidobacterium dentium Bd1 Genome Sequence Reflects Its Genetic Adaptation to the Human Oral Cavity,PLoS Genetics
,,Inflammatory Bowel Disease (IBD),"Produce GABA, an Inhibitory neurotransmitter and regulator of abdominal pain perception from peripheral neurons. May represent future therapeutics for recurrent abdominal pain and functional bowel disorders.",Pokusaeva (2017),GABA‐producing Bifidobacterium dentium modulates visceral sensitivity in the intestine,Neurogastroenterology & Motility
,Blautia producta,Breast cancer,"Convert phytoestrogens on breast cancer cells into the bioactive compounds, providing protective effects.",Spanogiannopoulos (2016),The microbial pharmacists within us a metagenomic view of xenobiotic metabolism,Nature Reviews Microbiology
,,Colorectal Cancer (CRC),Showed to have beneficial anti-inflammatory effect in CRC.,Pathmanathan (2019),Gut bacteria characteristic of the infant microbiota down-regulate inflammatory transcriptional responses in HT-29 cells,Anaerobe
,Candidatus Saccharibacteria-TM7,Periodontitis,"Prevalent in human subgingival plaque, diversity is higher in sites with mild periodontitis than in either healthy sites or sites with severe periodontitis.",Brinig (2003),Prevalence of Bacteria of Division TM7 in Human Subgingival Plaque and Their Association with Disease,Applied and Environmental Microbiology
,,Inflammatory Bowel Disease (IBD),Potentially play a role as promoters of inflammation in inflammatory gastrointestinal disorders and may contribute to a pro-inflammatory shift of the intestinal microbiota.,Kuehbacher (2008),Intestinal TM7 bacterial phylogenies in active inflammatory bowel disease,Journal of Medical Microbiology
,,Vaginosis,Associated with inflammatory mucosal diseases in vagina.,Fredricks (2005),Molecular identification of bacteria associated with bacterial vaginosis.,The New England Journal of Medicine
,Clostridiales bacterium-1-7-47FAA, -, -, -, -, -
,Clostridium asparagiforme,Rheumatoid Arthritis (RA),Found to be enriched in RA patient samples.,Zhang (2015),The oral and gut microbiomes are perturbed in rheumatoid arthritis and partly normalized after treatment,Nature Medicine
,,Pervasive Developmental Disorder Not Otherwise Specified (PDD-NOS)  Autism (AD),Found to be significantly higher in PDD-NOS and AD children samples.,Angelis (2013),Fecal Microbiota and Metabolome of Children with Autism and Pervasive Developmental Disorder Not Otherwise Specified,PLoS One
,Clostridium bolteae,Autism,"Significantly higher in autistic children than in controls, involved high frequency of in diarrheal irritations in autistic children.",Pequegnat (2013),"A vaccine and diagnostic target for Clostridium bolteae, an autism-associated bacterium",Vaccine
,Clostridium citroniae,Ulcerative Colitis (UC),More abundant in UC patients than healthy subjects.,World Journal of Gastroenterology (2019) ,Gut microbiota contributes to the distinction between two traditional Chinese medicine syndromes of ulcerative colitis,World Journal of Gastroenterology
,Clostridium clostridioforme,Osteomyelitis,This anaerobic species responsible for chronic osteomyelitis.,Spitzer (1991),Chronic osteomyelitis due to Clostridium clostridiiforme,The Southern Medical Journal
,,Bacteremia ,Associated with substantial morbidity and mortality in cancer patients.,Williams (2010),A review of three cases of Clostridium aldenense bacteremia.,Anaerobe
,,Liver abscess ,Involvement of this microbe with liver abscess is rare.,Ogah (2012),Clostridium clostridioforme liver abscess complicated by portal vein thrombosis in childhood,Journal of Medical Microbiology
,,Diabetic foot infections,Known to cause this disease in association with other gram-negative aerobes.,Citron (2007),Bacteriology of Moderate-to-Severe Diabetic Foot Infections and In Vitro Activity of Antimicrobial Agents,Journal of Clinical Microbiology
,,Autism,Higher in autistic samples than in controls.,Song (2004),Real-Time PCR Quantitation of Clostridia in Feces of Autistic Children,Applied and Environmental Microbiology
,Clostridium hathewayi,Bacteremia ,"Acute appendicitis complicated by septic shock, wound infection.",Woo (2004),Bacteremia due to Clostridium hathewayi in a patient with acute appendicitis,Journal of Clinical Microbiology
,,Crohn's disease (CD),Abundance of C. hathewayi significantly increased in CD patients as compared to healthy controls.,Lloyd-Price (2019),Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases,Nature
,,Colorectal Cancer (CRC),Significantly more abundant in CRC than controls; proposed to serve as novel noninvasive diagnostic biomarkers for colorectal cancer.,Liang (2017),Fecal Bacteria Act as Novel Biomarkers for Noninvasive Diagnosis of Colorectal Cancer,Clinical Cancer Research
,Clostridium nexile (Tyzzerella nexilis),Commensal,Commensal bacteria passed from mother to fetus during breastfeeding., Stewart (2018),Temporal development of the gut microbiome in early childhood from the TEDDY study,Nature
,Clostridium ramosum,Obesity,Promotes high-fat diet-induced obesity in gnotobiotic mouse models.,Woting (2014),Clostridium ramosum Promotes High-Fat Diet-Induced Obesity in Gnotobiotic Mouse Models,mBio
,,Spondylodiscitis,Observed in an elderly immunocompetent patient.,Lavigne (2003),Spondylodiscitis Due to Clostridium ramosum Infection in an Immunocompetent Elderly Patient,Journal of Clinical Microbiology
,,Cerebellar abscess,Observed in a child with a history of fever for one and a half months along with irritability and headache.,Set (2001),Clostridium ramosum in a case of cerebellar abscess,Indian Journal of Medical Microbiology
,Clostridium symbiosum,Colorectal Cancer (CRC),Increased in patients with colorectal neoplasia and it may serve as a potential biomarker in non-invasive early differentiation of colorectal cancer from healthy controls.,Xie (2017),Fecal Clostridium symbiosum for Noninvasive Detection of Early and Advanced Colorectal Cancer Test and Validation Studies,EBioMedicine
,,Bacteremia,Observed in a 70-year-old man with metastatic colon cancer.,Elsayed (2004),Bacteremia Caused by Clostridium symbiosum,Journal of Clinical Microbiology
,Eggerthella lenta,Bacteremia,"Associated with gastrointestinal diseases and show complicated symptoms during spondylodiscitis, psoas abscess, meningitis, and crohn's patient.",Wong (2014),Bacteremia caused by Eggerthella lenta in an elderly man with a gastrointestinal malignancy A case report,Canadian Journal of Infectious Diseases and Medical Microbiology
,,,,Thota (2011),Eggerthella lenta bacteremia in a Crohn's disease patient after ileocecal resection,Future Microbiology
,,,,Gardiner (2014),"Eggerthella lenta Bacteremia Complicated by Spondylodiscitis, Psoas Abscess, and Meningitis",Journal of Clinical Microbiology
,,Disseminated infections,"Observed in a healthy immunocompetent man; resulting in multiple brain abscesses, liver abscesses, necrotizing pneumonia, and osteomyelitis of the left radial bone.",Salameh (2012),Disseminated Infection Caused by Eggerthella lenta in a Previously Healthy Young Man A Case Report,Case reports Infectious Diseases
,,Septic shock,Observed in a 61-year-old male with a periurethral abscess.,Cordoba (2019),Septic shock caused by the under-recognized bacterium Eggerthella lenta in a 61-year-old male with a periurethral abscess a case report,Revista da Sociedade Brasileira de Medicina Tropical
,Erysipelotrichaceae bacterium-2-2-44A, -, -, -, -, -
,Flavonifractor plautii,Colorectal Cancer (CRC),Linked with the degradation of beneficial anticarcinogenic flavonoids by this species.,Gupta (2019),"Association of Flavonifractor plautii, a Flavonoid-Degrading Bacterium, with the Gut Microbiome of Colorectal Cancer Patients in India",mSystems
,,Bloodstream infection,Observed in a 69-year-old man following gangrenous cholecystitis.,Berger (2018),Flavonifractor (Eubacterium) plautii bloodstream infection following acute cholecystitis,IDCases
,,Bloodtype conversion,Two enzymes from this bacterium can convert A and B type blood into universal type O donor blood.,Rahfeld (2019),An enzymatic pathway in the human gut microbiome that converts A to universal O type blood,Nature Microbiology
,,Ankylosing spondylitis (AS),Enriched in the patients with AS.,Huang (2019),Metagenome-wide association study of the alterations in the intestinal microbiome composition of ankylosing spondylitis patients and the effect of traditional and herbal treatment,Journal of Medical Microbiology
,,Fibromyalgia (FM),Higher relative abundance in FM patients.,Minerbi (2019),Altered microbiome composition in individuals with fibromyalgia,Pain
,Fusobacterium nucleatum,Periodontal disease,One of the most studied bacteria involved in periodontal disease.,Signat (2011),Fusobacterium nucleatum in periodontal health and disease,Current Issues in Molecular Biology
,,Colorectal Cancer (CRC),Significantly elevated in human colorectal adenomas and carcinomas compared to that in adjacent normal tissue.,Shang (2018),Fusobacterium nucleatum and colorectal cancer A review,World Journal of Gastrointestinal Oncology
,,Bacteremia,Observed primarily in older patients with chronic medical conditions and associated with a mortality rate of approximately 10%.,Afra (2013),"Incidence, risk factors, and outcomes of Fusobacterium species bacteremia",BMC Infectious Diseases
,,Inflammatory Bowel Disease (IBD),Increased in IBD patient samples.,Strauss (2011),Invasive potential of gut mucosa-derived Fusobacterium nucleatum positively correlates with IBD status of the host,Inflammatory Bowel Diseases
,,Others,Adverse Pregnancy OutcomesOral InfectionsGI Disorders.,Han (2015),Fusobacterium nucleatum a commensal-turned pathogen,Current Opinion in Microbiology
,Gemella morbillorum,Endocarditis,"This rare pathogen could lead to endocarditis, particularly in the presence of predisposing factors.",Dan (2017),Gemella morbillorum endocarditis of pulmonary valvea case report,Journal of Cardiothoracic Surgery 
,,Bacteremia,Observed in an elderly patient with respiratory tract infection.,Jayananda (2017),Gemella Species Bacteremia and Stroke in an Elderly Patient with Respiratory Tract Infection,Case Reports in Medicine
,,Colorectal Cancer (CRC),Promote colorectal carcinogenesis.,Kwong (2018),Association Between Bacteremia From Specific Microbes and Subsequent Diagnosis of Colorectal Cancer,Gastroenterology
,,Meningitis,"Associated with the formation of diffuse, subacute, necrotising, purulent leptomeningitis.",Debast (1993),Infections caused by Gemella morbillorum,Lancet
,,Septic arthritis,Associated with endovascular infection and septic arthritis.,Omran (1993),Endovascular infection and septic arthritis caused by Gemella morbillorum,Diagnostic Microbiology and Infectious Disease
,,Pneumonia,Observed in a 5-month-old baby presented with a low-grade fever.,Hussain (2018),Pneumonia and bacteraemia caused by Gemella morbillorum in a previously healthy infant first reported case in literature,BMJ Case Reports
,,Abscess,Known to cause brain and liver abscess.,Abu-Heija (2018),Gemella morbillorum Cryptogenic Brain Abscess A Case Report and Literature Review,Cureus
,,,,Borro (2014),Pyogenic liver abscess caused by Gemella morbillorum,Colombia Médica
,Gemella sanguinis,Endocarditis,"Observed in a 4-year-old male patient presented with high-grade fever associated with chills and rigor, cough, weight loss, and abdominal distension.",Mugunthan (2016),Gemella sanguinis A rare cause of native valve endocarditis in a child.,Medical Journal Armed Forces India
,,Prosthetic Joint Infection,Observed in a 52-year-old man with a history of type II diabetes mellitus and avascular necrosis of the femoral heads presented with 3 days of severe left hip pain.,Leung (2011),First report of prosthetic joint infection by Gemella sanguinis and associated pseudosatelliting phenomenon on culture,Journal of Clinical Microbiology
,Granulicatella adiacens,Abscess,Associated with the formation of subcutaneous abscesses.,Gupta (2018),Granulicatella adiacens abscess Two rare cases and review.,Journal of laboratory physicians 
,,Endocarditis,Observed in a 63-year-old man with rheumatic valvular heart disease.,Shailaja (2013),Infective endocarditis caused by Granulicatella adiacens,Indian Heart Journal
,,Sepsis,Known to be associated with early-onset sepsis in neonate.,Bizzarro (2011),Granulicatella adiacens and Early-Onset Sepsis in Neonate,Emerging Infectious Disease 
,Holdemania filiformis,Alopecia areata,One of the bacterial biomarkers found to be positively associated with this disease.,Moreno-Arrones (2019),Analysis of the gut microbiota in alopecia areata identification of bacterial biomarkers.,Journal of the European Academy of     Dermatology and Venereology 
,Klebsiella pneumoniae,Several diseases,"Associated with wide spectrum of infections, such as urinary tract infection, pneumonia, intra-abdominal infection, bloodstream infection, meningitis and pyogenic liver abscess.",Vading (2018),Invasive infection caused by Klebsiella pneumoniae is a disease affecting patients with high comorbidity and associated with high long-term mortality,PLoS One
,Lachnospiraceae bacterium-1-4-56FAA, -, -, -, -, -
,Lachnospiraceae bacterium-2-1-58FAA,Atopic dermatitis (AD),Significantly associated with stunted immune development in the AD group,Lee (2018),Perturbations of gut microbiome genes in infants with atopic dermatitis according to feeding type,Journal of Allergy and Clinical Immunology
,Lachnospiraceae bacterium-3-1-57FAA-CT1, -, -, -, -, -
,Lachnospiraceae bacterium-5-1-57FAA, -, -, -, -, -
,Lachnospiraceae bacterium-9-1-43BFAA, -, -, -, -, -
,Lactobacillus salivarius,Commensal Probiotic,Well known probiotic in gastroinstestinal tact.,Neville (2010),Probiotic properties of Lactobacillus salivarius and closely related Lactobacillus species.,Future Microbiology
,Peptostreptococcus stomatis,Oral Inections,"Included within species group of Peptostreptococcus anaerobius sensu lato, members of which has been known to be associated with wide range of human oral infections including periodontitis, dento-alveolar infections, pericoronitis, dentinal caries and endodontic infections.",Könönen (2007),Antimicrobial Susceptibilities of Peptostreptococcus anaerobius and the Newly Described Peptostreptococcus stomatis Isolated from Various Human Sources,Antimicrobial Agents and Chemotherapy
,,,,Downes (2006),"Peptostreptococcus stomatis sp. nov., isolated from the human oral cavity",International Journal of Systematic and Evolutionary Microbiology
,Ruminococcaceae bacterium-D16, -, -, -, -, -
,Ruminococcus gnavus,Crohn’s disease,Produce inflammatory polysaccharide which induces the production of inflammatory cytokines like TNFα by dendritic cells and may contribute to the disease phenotype.,Henke (2019),"Ruminococcus gnavus, a member of the human gut microbiome associated with Crohn’s disease, produces an inflammatory polysaccharide",Proceedings of the National Academy of Sciences of the United States of America
,,Systemic lupus erythematosus (SLE),Patients with SLE had an overall 5-fold greater representation of this species.,Azzouz (2019),Lupus nephritis is linked to disease-activity associated expansions and immunity to a gut commensal,Annals of the Rheumatic Diseases
,Solobacterium moorei,Halitosis,Dominant bacteria in patients with halitosis.,Haraszthy (2007),Identification of oral bacterial species associated with halitosis.,The Journal of the American Dental Association
,,Bacteremia,Observed in a 61-year-old male presented with thrombotic thrombocytopenic purpura and several other underlying diseases., Liu (2019),"First case report of bacteremia caused by Solobacterium moorei in China, and literature review",BMC Infectious Diseases 
,,Oral Inections,Reported to be associated with other oral cavity diseases and wound infections., Liu (2019),"First case report of bacteremia caused by Solobacterium moorei in China, and literature review",BMC Infectious Diseases 
,Streptococcus anginosus,Abscesses Pyogenic infections,Widely known to be associated with liver and brain abscesses and pyogenic infections.,Finn (2018),Streptococcus anginosus endocarditis and multiple liver abscesses in a splenectomised patient,BMJ Case Reports
,,,,Kragha (2016),Multiple Brain Abscesses due to Streptococcus anginosus Prediction of Mortality by an Imaging Severity Index Score,Case report of Radiology
,,,,Walkty (2014),An unusual case of Streptococcus anginosus group pyomyositis diagnosed using direct 16S ribosomal DNA sequencing,Canadian Journal of Infectious Diseases and Medical Microbiology
,,Colorectal Cancer (CRC),Positive association between S. anginosus systemic infection and occurrence of CRC.,Masood (2016),Colorectal Cancer Associated with Streptococcus anginosus Bacteremia and Liver Abscesses,Case Reports in Gastroenterology 
,,Respiratory infections,Respiratory infections occur more frequently in males with comorbid diseases.,Noguchi (2015),The clinical features of respiratory infections caused by the Streptococcus anginosus group,BMC Pulmonary Medicine
,Streptococcus australis,Meningitis,"Observed in a 77-year-old man admitted to with a 3-day history of fever, nausea, vomiting and growing headache.",Héry-Arnaud (2011),Streptococcus australis meningitis,Journal of Medical Microbiology
,Streptococcus gordonii,Endocarditis,"Responsible of plaque formation, associated with dental caries and also regarded as the main causative agent in the development of bacterial endocarditis.",Mosailova (2019),Streptococcus gordonii A Rare Cause of Infective Endocarditis,Case reports Infectious Diseases
,,Spondylodiskitis,Spondylodiskitis should be looked for in patients diagnosed with S. gordonii endocarditis suffering from back pain for antibiotic treatment to achieve complete cure.,Dadon (2017),Spondylodiskitis and endocarditis due to Streptococcus gordonii,Annals of Clinical Microbiology and Antimicrobials
,,Septic arthritis,This organism is a rare cause of septic arthritis.,Yombi (2012),Streptococcus gordonii septic arthritis  two cases and review of literature,BMC Infectious Diseases 
,,Peritonitis,"Observed in a 63-year-old woman, with a 15-year history of diabetes mellitus and admitted with abdominal pain.",Collazos (1999),Spontaneous bacterial peritonitis caused by Streptococcus gordonii,Journal of Clinical Gastroenterology
,Streptococcus infantis,Several abnormalities,Some studies report association of this microbe with several clinical abnormalities.,Kawamura (1998),"Streptococcus peroris sp. nov. and Streptococcus infantis sp. nov., new members of the Streptococcus mitis group, isolated from human clinical specimens.",International Journal of Systematic and Evolutionary Microbiology
,,,,Shelburne (2014),Streptococcus mitis Strains Causing Severe Clinical Disease in Cancer Patients,Emerging Infectious Diseases
,Streptococcus mitis,Urinary Tract Infection,Observed in a patient receiving cephalexin for urinary infection.,Oteo (1997),Urinary tract infection caused by Streptococcus mitis highly assistant to penicillin,Pediatric Infectious Disease Journal
,,Sacroiliitis,Bacteremia complicated by septic sacroiliitis in a healthy teenager in the absence of infective endocarditis.,Al-Farsi (2018),Acute Streptococcus mitis Sacroiliitis in a Teenager with Unclear Source of Bacteremia A Case Report and Literature Review,Case reports Infectious Diseases
,,Meningitis,"Has been described in individuals with previous spinal anesthesia, neurosurgical procedure, malignancy, or neurological complications of endocarditis.",Kutlu (2008),Community-acquired Streptococcus mitis meningitis a case report,International Journal of Infectious Diseases
,,BacteremiaEndocarditisOthers,"Observed in patients with neutropenia, orbital cellulitis and other disorders.",Shelburne (2014),Streptococcus mitis Strains Causing Severe Clinical Disease in Cancer Patients,Emerging Infectious Diseases
,Streptococcus oralis,BacteremiaEndocarditisOthers,"Once regarded as a minor opportunistic pathogen, S. oralis is now considered a significant pathogen that affects immunocompromised individuals and those with hematological malignancy.",Byers (2000),Isolation and characterisation of sialidase from a strain of Streptococcus oralis,Journal of Medical Microbiology
,Streptococcus pneumoniae,Pneumonia,"Main cause of pneumococcal diseases and meningitis in children, elderly and immunocompromised individuals.",Van de Beek (2006),Community-acquired bacterial meningitis in adults,New England Journal of Medicine
,,,,Siemieniuk (2011),The persisting burden of invasive pneumococcal disease in HIV patients an observational cohort study,BMC Infectious Diseases
,,,,File (2004),Streptococcus pneumoniae and community-acquired pneumonia a cause for concern,American Journal of Medicine
,,,,Anevlavis (2010),Community acquired bacterial pneumonia,Expert Opinion on Pharmacotherapy 
,,Several abnormalities,"Other invasive pneumococcal diseases include bronchitis, rhinitis, acute sinusitis, otitis media, conjunctivitis, meningitis, sepsis, osteomyelitis, septic arthritis, endocarditis, peritonitis, pericarditis, cellulitis, and brain abscess.",Abdel-Magid (2017),Inhibitors of DNA Gyrase-GyrB Subunit andor Topoisomerase IV-ParE Subunit May Treat Infectious Diseases Caused by Antibiotic-Resistant Bacteria,ACS Medicinal Chemistry Letters
,Streptococcus sanguinis,Periodontitis,Part of healthy oral microbiome; aggressive periodontitis seems to be associated with a loss of colonization of S. sanguinis.,Stingu (2008),Periodontitis is associated with a loss of colonization by Streptococcus sanguinis.,Journal of Medical Microbiology
,,Endocarditis,"Gain entrance to the bloodstream during dental cleanings and surgeries and colonize the heart valves, causing endocarditis.",Paik (2005),Identification of Virulence Determinants for Endocarditis in Streptococcus sanguinis by Signature-Tagged Mutagenesis,Infection and Immunity
,,Septic Arthritis,Observed in a man with osteoarthritis and severe periodontal disease.,Edson (2002),Septic arthritis due to Streptococcus sanguis,Mayo Clinic Proceedings
,Streptococcus vestibularis,Endocarditis,Has been reported to be associated with endocarditis.,Doyuk (2002),Native valve endocarditis due to Streptococcus vestibularis and Streptococcus oralis,Journal of Infection
,Subdoligranulum sp-4-3-54A2FAA, -, -, -, -, -
,Subdoligranulum variabile,Food allergy,Associated with food allergies.,Abdel-Gadir (2019),Microbiota therapy acts via a regulatory T cell MyD88RORγt pathway to suppress food allergy,Nature Medicine
,Veillonella atypica,Commensal,"Convert lactate to propionate, which increase energy expenditure in individuals.",Scheiman (2019),Meta-omics analysis of elite athletes identifies a performance-enhancing microbe that functions via lactate metabolism,Nature Medicine
,,Opportunistic  infections,Isolated from lesions associated with several opportunistic infections.,Mashima (2015),The interaction between Streptococcus spp. and Veillonella tobetsuensis in the early stages of oral biofilm formation,Journal of Bacteriology
